access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Along East-West beaten path and East-West dirt road leading to main track to Mavrovouni,63-35-026,,No,No,No,No,No,None,The centre of floor is in good condition; north and western edges are eroding down into terrace. South/ Southeastern edges raecut by bulldozing activity.,"In a gully system, near roads and river; built into terracing. Refer to GU0607 and the GI Notebook.","Built directly on top of bedrock and terracing. Some marks on stones from threshing sledges. Its terrace is built up about 60cm and set back about 40cm from the flat area below. Just up the road (eastward) of the abandoned house, POSI TP014, about 25m away. Approximately 7m North - South x 4.5m East - West. Surface of large, flat paving stones not indigenous to area, on top of terrace.",502915.00,365.00,ESP,28/6/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Athasin,No,Yes,Yes,3878806.00,No,,TP015,None,No,No,ATB,28/6/2001 00:00:00,,No,No,No,No,,,,Yes,None,No,Aerial,Threshing Floor,AGR,Yes,None,No,Base of terraced foothills.,"Almond Grove, wild grasses.",No,Xyliatos,40.00
Accessible by way of paths and roads.,63-35-036,Abundant,No,No,No,No,No,Unclear,"TF 1 is very well preserved, others unknown due to poor visibility.",Numerous plateaus at different elevations.  Area still used by settlers (evidence in clear roads and newly planted almond trees).  Surrounding fields have not been cultivated for many years.,"Threshing Floor 1- paved, level, 11.40m W-E, 7.70m N-S, perhaps flat along one side and circular along the other.  Coordinates: Easting 497075, Northing 3877865. Threshing Floor 2- Coordinates: Easting 497075, Northing 3877825.  Unpaved, rubble inclusions, looks as if bulldozed, has circular shape. Threshing Floor 3- Coordinates: Easting 497100, Northing 3877935.  Circular, unpaved?, large flat stones in the vicinity (possibly taken out to make room for grove of almond trees). All placed in prominently windy places (environmental advantage to threshing process).",497075.00,530.00,EDV,28/6/2001 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Alonia,No,Yes,Yes,3877825.00,No,,TP016,None,No,No,EDV,28/6/2001 00:00:00,Aerial image/print IP0016,No,No,No,No,,,TS03,Yes,None,No,Aerial,3 threshing floors: 1 paved and 2 possible others,ESG,Yes,None,No,Along ridge with steep slopes on either side.,Abundant barley fields scattered with almonds and hawthorn trees.,No,Nikitari,10.00
"Fairly gentle slope to the SE, sheer slope to the S and W; abuts two dirt roads at Memi mine",63-35-026,Some,No,No,No,No,No,None,Quite good.  Some erosion in rock-cut holes.,"""Rock of Ayios Kyriakos"", west of Memi mine spoil heaps, SE of Ayios Kyriakos slag heap.  Good vantage point for supervision of activities in surrounding area.","Prominent rock position above Ayios Kyriakos mining area.  With small section of stone-and-pottery wall.  A number of anthropogenic rock-cut holes.  Two iron anchor points on highest part of outcrop.  Small slag heap on SE near base on the level of the modern dirt road.  Evidence of modern use: cartridges, tin foil, sardine tin.  Accumulation along W base of iron manganese; its collection and the manner of its use seem to be anthropogenic.  Some river rocks on top, which GI reports would not have been naturally deposited; they are about the size of small boulders.",503300.00,415.00,ATB,7/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Mavrovouni,No,No,Yes,3877790.00,No,,TP017,Some,No,No,ATB,7/7/2001 00:00:00,Alexis's field report. 2001 Field Report,No,No,No,No,29-XXVII,,TS02,Yes,Abundant,No,Aerial,Rock of Ayios Kyriakos. Basalt outcrop with evidence of modern use and possible ancient use,AGR,No,Some,No,Rock outcrop of pillow basalt,"Spiny burnet, thyme, wild grasses, asphodel, thistle, possible hawthorn, extensive lichen",Yes,Ayia Marina,40.00
"Immediately E of road leading to UN Argentine Task Force San Martin Camp, Skouriotissa",,None,No,No,No,No,No,None,Slag heap on western face has been bulldozed by road area; northern end appears bulldozed; southern end intact with slumping from above.,Paper Form - Geomorphology recorded as AVB (alluvium basalt); Modern Land Use QM (?)Western face of slag heap faces river valley and river terraces. Located on flat terrace with modern mine to the east and south east. Modern UN base immediately to the west of unit 1 (western face),"ENUMERATION. TS01 is the slag heap and its surrounds. TP007 is the actual slag heap. TP007-AU01 to AU06 are the most significant faces of the slag heap. TP007-PU01 is the talus and surface immediately below TP007-AU01. SLAG HEAP: Layers of crushed gossan and furnace material (several); 1000 tonnes slag approximated in TP007-AU01; Furnace lining area 0.20-0.25 m thick; Gossan layer 0.50 m approx thick; below furnace lining - change in orientation of the slag cakes; 16 m high x 50 m (western face). POTTERY: 1 late Roman cover tile in slag heap (TP007-AU01-P1 Collected) Other late Roman material in talus at base of slag heap, eroded from main slag heap at base of slag heap (west facing) - lamp stand and amphora foot and another cover tile; some modern pottery further west of slag heap in pile beside road with other pottery Cypriot red slip; more present than other material. (Collected as grab: TP007-PU01). Surface - Angular Grave/Sand; Aspect - North.",489560.00,220.00,LHS,20/5/2001 00:00:00,Yes,No,None,Yes,No,Karkotis,No,No,Vouppos,No,No,No,3883500.00,No,,TP007,Abundant,No,No,ESG,,Cadastral plot (?) E1,No,No,No,No,28-XII,,TS01,Yes,Abundant,Yes,GPS,Large slag heap with remains of workshop floors.,ESG,No,Abundant,No,River Terrace,"Scrub, sparse, wild grasses, pine tree",No,Skouriotissa,100.00
Immediately south of track from Mandres,,Abundant,No,No,Yes,No,No,Some,"Stone wall relatively good condition, but mud brick deteriorating in places with some collapse.",Centre of cultivated field; River course 200 m East; Outlying building on East edge of Mandres. Geomorphology recorded as AVB (alluvium basalt) on paper form,"2 architectural structures 2 threshing floors - 1 of which was collected (pottery/chipped stone) Some evidence of recent military use (bullet holes, paint grenades)Surface - Clay/Silt; Slope - 6-10 degrees; Aspect South East.",495860.00,280.00,LHS,20/5/2001 00:00:00,No,No,None,No,No,Mandres,No,No,Mandres,No,No,Yes,3881540.00,No,,TP008,Some,No,No,HPS,10/7/2000 00:00:00,,No,No,No,No,,,TS07,Yes,None,No,Image Print,Two threshing floors with two associated buildings,MJG,Yes,None,No,Hillside-Soil/Plant Cover,"Grasses, Christ's thorn",No,Kato Koutraphas,60.00
through lower gully system from the road,63-35-026,Abundant,No,No,No,No,Yes,None,Good but upper courses starting to tumble.,"Dry, terraced foothills surrounding the gully. Next gully to the east also has a check dam system as seen 23/6/01 - no records",Three check dams - see sketch.,503005.00,350.00,ESP,30/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Athasin,No,Yes,Yes,3878980.00,No,,TP009,None,No,No,ESP,26/6/2001 00:00:00,,No,No,No,No,29-XXVII,,,Yes,None,No,Aerial,Series of three (possibly four) check dams,AGR,No,None,No,Gully system,"No vegetation particularly associated with the check dam series or check dam walls.  The walls are ""continuations"" of basalt dykes across creek line, but do not have the vegetation of the dykes.  Arable land built up behind dams is currently sown to barley.  Drainage line(s) now beside triangle of accumulated soil behind each dam and almond trees, Zysiphus and hawthorn occasionally grow here. (NFU)",No,Xyliatos,
"From village, take the road from the mill. Before the river, turn right.",,None,No,No,No,No,No,None,,"Series of river terraces, several bulldozer cuts, overgrown with bamboo",Stream and flood deposits. Few bits of pottery in the lower deposits. 1 sherd with vitreous glaze found in lowest flood deposit. Length: 8.5 m.  Width: 1.5 m,489610.00,302.00,EAS,1/7/2001 00:00:00,No,Yes,None,No,No,Karkotis,No,No,Shaabanbeys,No,Yes,Yes,3880010.00,No,,TP010,Some,No,No,EAS,29/6/2001 00:00:00,,No,No,No,No,28-XX,,,Yes,None,No,Aerial,Sediment profile showing flooding episodes,MJG,No,None,No,,,No,Phlasou,80.00
Through  back yard of houses,63-48-131,Unclear,Yes,No,No,No,Yes,Unclear,Good condition for age. Oldest tree yielding up to 200 kg in a good year. Averaging 40-60 kg/tree overall.,,"Series of olive trees 300-650 years old along upper terrace level adjoining village. Landowner(s) report trees planted under edict of 'Venetians'. This includes revetted tree. Two trees in this category measured at 22ft circumference and 17ft (main trunk) plus 5ft8ins (dominant secondary). One tree reported by landowner as datingfrom the 'Frankish' period; this tree 31 ft in trunk circumference.One  olive tree surrounded by a 5 meter in diameter revetted circle of large stones. It is raised by about 30cm. Stones = 15cm to 30cm long. Landowner reports that it marks an old boundary. Distinctive in landscape as seems raised above todays terrace.MJG, 11/9/01: Needs revisiting, locating properly, and matching with GU.",489588.00,318.00,LAM,23/7/2001 00:00:00,No,No,Unclear,No,No,Karkotis,No,No,Limnes,No,Yes,Yes,3880415.00,No,I,TP011,Unclear,No,No,LAM,26/6/2001 00:00:00,"Village Plan, Kato Phlasou I",No,No,No,No,28-XX,Kato Phlasou,,Yes,Some,No,GPS,Series of 4-5 very old olive trees on terrace,HFJ,No,Unclear,No,Gently sloping field. Top terrace level adjoining built-up area of Phlasou,Cultivated and managed for olive production,No,Phlasou,80.00
Spur leading down from lower Asinou-Mandres forest road,,Abundant,No,No,No,Yes,No,None,"Very ruinous and heavily lichenated (including the lime-green Rizocarpin tinei). cf. Mavrovounos in SCSP area (floruit 16c, abandoned 17c).",Prominent spur leading north from Moutti tou Dhia range. Settlement lies in saddle of spur-ridge; view north obscured by hill at north end of spur.Areas of wild grass/oats; may once have been cultivated. Pleasant breeze from NNE,"Series of about 10 ruined rectangular structures, house platforms and rubble piles. Very little pottery, as very overgrown: about 5 pieces, all of Med-Mod red ware. Discovered 16 July 01 by spotting spur, exploring it, and spotting the rubble piles. The next day Panayiotis Alexandrou Loppas gave MJG instructions on how to get there, including this info: the church was Ayios Yeoryios, and can still be seen with its apse; the village was called Vouni (the same name is on the cadastral). 16 July 2001.   Ruinous structures to east and west of road along top of spur. 1 well defined, 2-room, out-lying structure to west of road. Also to west of road terracing below structural remains. One or two river boulders that didn't get onto spur on their own. One piece of red jasper, several copper rich rocks. Drawing No. ERC-01-01. 8 July 2002",497820.00,423.00,MJG,17/7/2001 00:00:00,No,No,Some,No,No,,No,No,Vouni,No,Yes,No,3879970.00,No,,TP031,Some,No,No,MJG,16/7/2001 00:00:00,,No,No,Yes,No,,,,Yes,None,No,GPS,Abandoned settlement with church,MJG,No,Some,No,Ridge/saddle,"Hawthorn, wild grasses & oats, cistus, spiny burnet. Some scattered pine. Thyme. Domesticated olive, Mock olive.",No,Nikitari,30.00
Dirt track,63-48-131,None,No,No,No,No,Yes,None,One section of bank clearly visible - the rest vegetation covered.,"Cadastral Plot number 461??This POSI consists of a small level terrace surrounded by a raised bank. The vegetation consists of olive and mixed fruit trees. Originally this seems to have been a small raised hill or terrace which has been deeply (1.5 m) cut through the centre leaving a raised bank on either side. The cut on one bank is clearly exposed, revealing a clean surface with a variety of pottery inclusions.","This clean cut section is c. 1.5 m tall by 4 m long. There is a variety of pottery  within the section, but without cleaning of the surface, no distinct stratigraphy is visible. The GI agrees that the entire 1.5 m depth revealed is likely to be a single deposition event.",489410.00,298.00,PLP,18/7/2001 00:00:00,No,Yes,None,No,No,Karkotis,No,No,Kangelia,No,No,No,3880485.00,No,,TP032,Some,No,No,PLP,18/7/2001 00:00:00,,No,No,No,No,28-XX,,,Yes,None,No,Aerial,Artificially cut terrace within small hill/original higher terrace revealing 1.5 m bank section with pottery inclusions.,HFJ,No,None,No,Artificially cut terrace within small hill,"Olive, mixed fruit trees",No,Ayios Epiphanios,
"Gully access, Hillslope trails",63-35-036,Some,No,No,Yes,Yes,No,None,"Poor, rubble, ruins, foundation walls remaining.",Situated on a hilltop.  Overlooking Nikitari to the north and valley to the south.  Has a prominent postion in the landscape.  Located very high up in the landscape.Easiest climb to the hilltop is via eastern ridge.,Low foundation walls.  The southern wall has 3 courses of construction.  The north wall has up to 2 courses of construction.  The church is roughly rectangular in shape and contains a curved apse on its east wall.  The western church wall contains one entrance and the northern wall possibly contains one entrance. Wall width is c. 70 cm. The walls of the church contain limestone/water mortar. The walls are not made from riverstones.  A  pit that is lined with stones has been located 3 m from the churches eastern wall.,497900.00,568.00,CAT,18/7/2001 00:00:00,No,No,None,No,No,Asinou,No,No,Paleolinos,No,Yes,No,3878350.00,No,,TP033,Some,No,No,CAT,18/7/2001 00:00:00,,No,No,No,No,,,,Yes,None,No,Aerial,Ruins of Stavros Church located south east (above) Panayia Phorviotissa,ESG,No,Some,No,On an spur/hilltop surrounded by deep gullies,"Pine, grasses, hawthorns, wild garlic",No,Nikitari,40.00
Path/gully to Panayia Phorviotissa church parking lot,63-35-036,Abundant,No,No,No,No,Yes,None,,Gully system-drainage off mountains drain west eroded slopes,"POSI consists of at least 5 gullies on the SE portion of mountain where Stavros church is located. Check dams made of stone approx. 1.5 m across, 10-40 cm high. Frequency of check dam dependent on the slope of the gully (between 7 m and 2 m). No build up of sediment (minimal) behind check dams. Possible use of gullies during dry season as path. Perhaps built by Forest Department in early 20th century for erosion control (MJG, 11/9/01). POSI incorporated into SIA TS19 in 2003.",497820.00,500.00,SED,18/7/2001 00:00:00,Yes,No,None,No,No,Asinou,No,No,Paleolinos,No,Yes,No,3877930.00,No,,TP034,None,No,No,ESG,18/7/2001 00:00:00,,No,No,No,No,,,TS19,Yes,None,No,GPS,Check dam system covering at least 5 gullies,ESG,No,None,No,Check dams and gullies some more steep than others,"Pine forest, wild grases, wild garlic",No,Nikitari,40.00
Road,63-48-119,None,No,No,No,No,No,None,Visibilty poor due to overgrowth,Ploughed harvested field leading up to pillow lava hill - access via a road.  Edge of hill shows some sign of quarrying/disturbance.,"Interface between field and beginning of hill produced quantities of Bronze Age pottery and bone, including teeth and skull fragments (?).  Marked drop-off in concentration further up slope.  (See SU0073 and SU0074).",489981.00,300.00,CAT,24/7/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Laonarka,No,No,No,3882029.00,No,,TP035,Abundant,Yes,Yes,PLP,19/7/2001 00:00:00,,No,No,Yes,No,28-XX,,TS09,No,None,No,GPS,Concentration of bone and Bronze Age pottery at foot of pillow lava hill.,HFJ,No,None,Yes,Level harvested field rising into pillow lava hill.,Harvested field - wild oats/spiny burnet.,No,Katydhata,
"From a dirt track to the west, which passes through a locked gate.",,Abundant,No,No,No,No,Yes,None,Very good where visible.  Southern end where cut by cement wall is looser and deteriorating somewhat.,"Above irrigated garden, acts in part as a riser for alluvial terrrace.  Right above spring/well that connects to Katydhata.  Runs into modern dirt bank around garden.Partially covered by thick roots.","4.64 m wide x 2.84 m tall x 1.27 m wide = dimensions of visible part of wall.  ""Wall"" composed of small boulders cemented together, with limestone, cobbles and tiles as chinking.  Abuts and seemingly cut by modern cement wall/riser (1.5 m tall) that owner says protects the irrigation system below in the gully.  14 courses of stones.  One pot handle collected",489630.00,345.00,CAT,24/7/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Phinikia,No,No,No,3880330.00,No,,TP036,Some,No,No,ATB,21/7/2001 00:00:00,,No,No,No,No,28-XX,,,Yes,None,No,Aerial,High revetting wall near well.,HFJ,No,Abundant,No,Gully that heads towards nearby river.,"Walnut trees, herbs, many rushes.",No,Phlasou,60.00
10m east of paved road in town.,63-48-119,Abundant,No,No,No,No,No,None,Fairly stable.,Toward the bottom of a gentle sloping back yard. Across the street (east of) school where we determined 1918 excavators' camp was located.,"Main chamber is 1.4 m high on average; side chamber is 0.8 m high. Chambered tomb cut out of easily fractured, very friable rock. Side chamber is smaller, set up high - possible chisel marks at its base. Rock fall litters tomb floor, and modern dirt and rubble has entered through opening. Actual tomb floor is likely at least 30cm below present accumulation.NB with side chamber and rectangular shape, it's more likely to be Roman than Bronze Age (MJG, 11/9/01)",489758.00,270.00,LHS,24/7/2001 00:00:00,No,No,None,Yes,No,Karkotis,No,No,Laonarka,No,No,No,3881828.00,No,,TP037,None,No,No,ATB,24/7/2001 00:00:00,,No,No,No,No,28-XX,,TS09,Yes,None,No,Aerial,"Rock-cut tomb, possibly related to 1918 Markides excavations.",HFJ,No,None,Yes,On edge of an alluvial terrace.,"Almond trees, russet grass.",No,Katydhata,90.00
