access,associated_land,building_type,bu_number,summary,cat_chk,ceiling,chipped_stone,current_use,date,description,easting,eaves,elevation,entered_by,entered_date,exterior_plaster,floors,foundation,ground_stone,habitable,height,interior_plaster,intensive_survey_zone,levels,number_of_levels,length,locality,location,alterations,northing,occupied,openings,oral_information,owner,ownership,past_use,period_1100,period_1601,period_1701,period_1801,period_1851,period_1901,period_1951,plot_cadastral,plot_village,posi_chk,posi_number,pottery,recorded_by,recorded_date,roofs,seanal,sheet_map_1_5000,sheet_map_cadastral,sheet_plan_village,sia_number,sketch_chk,slag,source,special_features,stability,structure_name,structure_type,tile,title_deed_number,vegetation,village,walls,width
,,Seasonal house,BU0016,"Seasonal house, Mandres. Rectangular all-stone structure of rough masonry. No roof. Threshing floor intact.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square house; all stone; rough masonry; high small windows; no roof; 2 small penetrations at base of west wall. Threshing floor intact.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP027,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0017,"Seasonal house, Mandres. Two-unit rectangular building with all stone walls and possible mudbrick addition to the rear.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Much altered complex. 2 rectangular all stone units; internal divisions in stone. Probably mud brick additions at rear, now just mounds.",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,0,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0033,"Seasonal house, Mandres. Square two-room structure with stone foundations and mudbrick walls.",0,,,,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square unit - high stone socle with mud brick - 2 rooms,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0034,"Seasonal house, Mandres. Three square rooms with partial galvanised metal roof; some mud roof left.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. 3 rectangular rooms; partial galvanised iron roof; also a bit of mud roof left.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0035,"Seasonal house, Mandres. Two-room rectangular structure with stone foundation and mudbrick walls.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Rectangular unit; 2 rooms; low stone socle with mud brick,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0036,"Seasonal house, Mandres. Large square structure with stone foundations and mudbrick walls. Threshing floor intact.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Large square house unit; high stone socle with mud brick. Threshing floor intact,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0037,"Seasonal house, Mandres. Large, square all-stone structure with flat mud roof and fireplace.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Large square house unit; flat mud roof; all stone; fireplace on long wall - stone base with mud hood.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0038,"Seasonal house, Mandres. All-stone rectangular structure with one missing wall.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. All stone rectangular unit - one wall missing,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0039,"Seasonal house, Mandres. Rectangular structure with stone foundations and eroded mudbrick walls.",0,,,,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square unit; low stone socle - mud brick mostly gone.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0040,"Seasonal house, Mandres. Square structure with stone foundations and mudbrick walls.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square unit - high stone socle with mud brick,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
Dirt road,Open farmland,Seasonal house,BU0041,"Seasonal house, Mandres. Two ruined houses with stone foundations and mudbrick walls. Ceiling collapsed.",0,Collapsed,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Abandoned ruinous pair of mud brick houses constructed with stone foundations and the rear wall cut from the hill slope at the rear. Foundation stone is rough cut and in courses.,,,,LHS,20/5/2001 00:00:00,No,Not visible,Stone,Abundant,,2.50,No,Mandres,Single,,19.00,Mandres,,,,,Doors and Windows,,,,Housing (seasonal),No,No,No,Yes,Yes,Yes,No,,,1,TP021,Abundant,IJE,10/7/2000 00:00:00,Collapsed,0,,XXVIII-39,,TS07,1,Some,,"An attached pair of houses with the back wall cut from the hillside, associated threshing floor.",IV,,,,,"Grain, olive trees, eucalyptus",Kato Koutraphas,Stone/Mud,8.00
Dirt road,Open farmland,Seasonal house,BU0042,"Seasonal house, Mandres.Two mudbrick houses with stone foundations. Fireplace intact. Roof collapsed.",0,Collapsed,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Abandoned ruinous pair of mud brick houses constructed with stone foundations and the rear wall cut from the hill slope at the rear. Foundation stone is rough cut and in courses. ... detailed corner fire place in house - low stone socle, rectangular form.",,,,LHS,20/5/2001 00:00:00,No,Not visible,Stone,Abundant,,2.50,No,Mandres,Single,,19.00,Mandres,,,,,Doors and Windows,,,,Housing (seasonal),No,No,No,Yes,Yes,Yes,No,,,1,TP021,Abundant,IJE,10/7/2000 00:00:00,Collapsed,0,,XXVIII-39,,TS07,1,Some,,"An attached pair of houses with the back wall cut from the hillside, associated threshing floor.",IV,,,,,"Grain, olive trees, eucalyptus",Kato Koutraphas,Stone/Mud,8.00
,,Seasonal house,BU0043,"Seasonal house, Mandres. Large rectangular structure with stone foundations and iron and timber frame roof.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Large square unit. High stone socle with galvanised iron and timber frame roof. Stone domed circular feature - storage/oven?,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,No,No,No,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,Domed stone feature,,,,,,,Kato Koutraphas,,
Adjacent dirt road,"Olive terraces, river (Ayii Saranta Creek)",Water mill,BU0044,"Water mill, located in Katydhata village. Masonry is mix of river boulders and limestone masonry, covered in pink plaster. Wooden wheel in wheelhouse extant, and millstones intact above. Pointed arch present in millrace behind penstock, also putlog holes.",1,,,abandoned,,"Cadastral number cannot be located, it appears that mill is in between cadastrals. Abandoned and ruined watermill, possibly 18th c. White lime plaster finish. Rectangular openings 15x20 approx. going through construction (as in other mills along this route) used as openings for scaffolding during time of construction. keystone to arch. Structure mainly of river boulders, some of which are expressed through the plaster finish. Large ruined wheelhouse in brambles beneath mill with wooden turbine wheel in situ. Millstones in situ above wheelhouse. Cavity in penstock intact with grille on top. Dimensions: race & penstock: 29m. long, race 3m. wide (probably penstock, not race.SEZ). Outflow does not flow into river but leads into channel. Five springs shown on Cadastral, 4 to the west and one to the north. Also 1 deimma.",489334.00,,254,SEZ,29/7/2001 00:00:00,lime,,stone,Some,No,6.70,,Karkotis,Multiple,,29.00,,"East bank of Karkotis river, W of Katydata village on Mylos locality",,3882064.00,No,pointed arch under leat,"Owner as specified by Mr. Styllis, Evrichou miller. According to Mr. Styllis, mill owner of Evrichou, this is one of the seven mills of Ahmed Agha. Not verified.",Ahmed Agha,Turkish Cypriot,corn grinding mill,No,No,Yes,Yes,No,No,No,,,0,,Some,IJE,10/7/2000 00:00:00,,0,,XXVIII-28,,TS07,1,,GPS,Race constructed over ruins of previous structure. Plaster finish of penstock,III,Mylos tou Ahmed Agha (?),Watermill,,,"Olive trees, hawthorn, carob",Katydhata,rubble in rough courses,3.00
"Village streets, corner building",,Seasonal house,BU0001,"Seasonal house, abandoned, located in Phlasou. Mudbrick makrinari with stone foundations and single pitched reed roof.Building has loggias and bays, and is currently being used to store hay.",1,Reed matting round beams,Unclear,Store - hay,,"Mud brick makrinari on 5 course stone foundation. Single pitched roof. North side - 5 bays, 2 loggias. South side - 7bays with windows of the sanidoto type. This structure is surrounded by mainly ruined structures, built around a perimeter to form a courtyard - used now for storage -mainly derelict.",,"0.30 m eaves, beams & reed matting",,LHS,20/5/2001 00:00:00,"Peg marks, but plaster gone",Not visible,Masonry with stone & tile chinking,Unclear,,3.50,,Karkotis,Single,,28.00,Kato Phlasou,"Athens Street, south edge of village",4 phases of extension clearly visible in the main building - many more phases represented by structures extended around court yard.,,Yes,Sanidoto,Spoke to local man who said the building had been servants quarters and a silk worm factory. He said it belonged to Nitsa and that her house was next door. He said the whole neighbourhood belonged to one family.,Nitsa,,"Sheep fold, silk farm?",No,No,No,No,Yes,Yes,Yes,,342.00,0,,Abundant,TJI,3/7/2000 00:00:00,Half round tiles on mud,0,28-XX,XXVIII-45,Kato Phlasou I,,1,Some,GPS,"Not aligned to street (west). It is apparent that the building has gone through many phases of use, through the structural changes. Central part appears to be oldest, has been most recently used as an animal barn - has trough (stone) and bales.",IV,,Makrinari,Abundant,,"1 fig in courtyard, grass and weeds",Phlasou,Mud brick,3.00
On the Linou-Katydata road,In olive groves next to road,Water mill,BU0002,"Abandoned water mill, Linou; penstock and mill race built of ashlar and river cobble masonry mix. White plaster lines the inside of the penstock chute. Millrace 14m long, penstock 6m high.",1,,None,abandoned,,"Interior of shaft white/grey smooth plaster. Quern on top of water race and tile in wall;Some whitewash on exterior - dressed ashlar courses on NE penstock face. - changes half way down to river cobble masonry. Only part of stone race and tower of water mill surviving. Channel goes under the road in a culvert. Stone channel 14 m long to tower 6 m high. Report by SEZ.Leat has capping stones of grey river boulders, most of which have been quarried. The corner quoins of the penstock have also been quarried especially from the south side. Water led to this mill from 'Deimma Asprallou-Linopsa' (BU0105) from the Karkotis river",490497.00,,291,LHS,29/7/2001 00:00:00,Lime wash on top of lime and brick mortar,,Unknown,Some,,6.00,,,,,14.00,Kapati,In olive groves,Water race appears to have been widened by applying one row of unattached stones to the older (smaller?) race. Stabilising plaster on top of later water race walls. Exterior south wall has crumbled at the base revealing inner plastered wall.,3881818.00,,water chute in arched opening on base of penstock,"Mr Andreas Shizas from Katydata pointed out the location of this mill and ones below to IJE and SEZ. Name of owner as told by Mr. Styllis, Evrichou miller. He said that the mills belonging to Ahmed Agha, from Petra were seven in all. He never remembers them working. On water from Karkotis river: Mr.Petros Evthimiades, Linou mayor",Ahmed Agha,Turkish Cypriot,Water Mill,No,No,No,No,Yes,Yes,No,163.00,,0,,Some,SEZ,5/7/2000 00:00:00,,0,28,XXVIII-29-W2,,TS05,1,Some,GPS,Quern and pottery in walls,IV,Mylos tou Ahmed Agha,,Some,,"Olive trees, pine, reeds",Linou,Masonry,
,,Seasonal house,BU0018,"Seasonal house, Mandres. Rectangular building with stone foundations built into hill. Threshing floor to north intact.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Rectangular house; built into hill; low stone socle. Threshing floor to north in good condition.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,0,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
On the road,"olive terraces, orchard, river w/ steep gully walls",Bridge,BU0045,"Abandoned bridge with pointed arch and buttressess, located near a ruined water mill in Evrykhou.",0,,None,abandoned,,"Abandoned bridge and road section, adjacent to a ruined water mill. Pointed arch, buttressed on south side only. North face of bridge is earlier, as the earlier voussoirs are visible on the underside of the arch, inside the newer construction on the southern side. Bridge meets an abandoned portion of road with a lime and gravel pavement to the west side, some evidence of tar on the east side. Road and bridge made redundant by new concrete bridge and subsequent new road alighnment. Concrete sentry box on eastern side of bridge. extensive modern concrete additions to approaches and river channel to stabilise and strengthen the structure for  modern traffic loads. Further description in report. More detailed reports prepared by TJI and SEZ.Mill, road on the alignment of abandoned section and a bridge shown on Kitchener's 1885 map.Extension of bridge and road construction described in Nicolls 1901, Report on Nicosia-Troodos Carriage Road, State Archives, Nicosia.",490447.00,,408,TJI,12/7/2001 00:00:00,white/grey,,bedrock,None,,6.00,,,,,,,"Junction of Tembria/Korakou/Evrykhou roads, where it crosses the Karkotis R.","To increase the width of the bridge to serve a modern road this earlier stone bridge was roughly doubled in width, construction technique similar but distinctively different.",3877164.00,No,,"Informant, Maria, Kindergarten teacher at Tembria said that the sentry box was used to protect this area from Turkish Cypriots marauding at night down from Lefka during bi-communal violence in the 60s.",,,bridge and road,No,No,No,Yes,Yes,Yes,Yes,,,0,,Some,TJI,26/6/2001 00:00:00,,0,28-XXIX,XXVIII-53,,,1,None,GPS,"Pointed arch stone bridge, extended in width in 1900.",III,Deimma Kousoulioti,bridge and road,None,,"blackberries, wild bamboo, fig, myrtle, oak trees",Evrykhou,"rubble masonry, basalt",4.57
On the road,"Olive terraces,  orchards, river gully",Water mill,BU0046,"Water mill, located in Evrykhou. Basalt masonry with limestone quoins.Vaulted wheelhouse still extant. In use until 1936 when it was partially destroyed by the river.",0,,None,abandoned,Abandoned 1936,"Penstock of ruined water mill. Race extant but demolished directly adjacent to the penstock to allow a new road to access the bridge. Basalt masonry with white quoin stones, a three tiered buttress on the east face.  Last tier extends 3 m to river channel. A vaulted wheel house below with pointed arch to the entrance. Abandoned in 1936 when river carried away a part of the water channel on the 5th of December. Sketch and report by SEZ. Described  as the ruined Mill of Kaliana in Nicholl's road report of 1901, State Archives. On Kitchener's map.Penstock 3 metres high from the upper ground level, about 6 metres from the outlet to to top of Penstock but this not measured propoerly. Sketch on file.",490427.00,,403,TJI,29/7/2001 00:00:00,white/grey,,stone,None,No,3.00,,,Multiple,,3.00,Deimma Kousoulioti,Junction of Tembria/Korakou/EvrykhouRoads next to bridge,,3877177.00,No,"pointed arch, to wheel house","From Mr. Styllis, Evrichou miller, owner's name and date/cause  of ruin.",Koumnas,Greek Cypriot,mill,No,No,Yes,Yes,Yes,No,No,,,0,,Some,TJI,26/7/2001 00:00:00,,0,28-IX,XXVIII-53,,,1,None,GPS,,III,Mylos tou Koumna (Koumnas mill),penstock,None,,"Blackberries, nettles, figs",Evrykhou,"masonry, basalt",2.94
Track from main road.,"uncultivated fields, steep valley walls, spurs, distinctively levelled areas for threshing floors.",Village house,BU0047,"Village house, Asinou. Stone, mudbrick and earth construction with flat reed roof.",1,reeds,Some,abandoned,,"Agglomerated village showing several phases of rebuilding/reuse. Stone, stone/mudbrick, flat earth roofs, earth floors. Some ruined buildings converted into mandres. Associated threshing floors, to north and south.",497120.00,,,TJI,12/7/2001 00:00:00,,earth,Stone,Unclear,No,,,Asinou,Single,,,Platanoudhi,On ridge looking north east to Asinou church,A series of rebuilding phases is evident. Some ruined walls have been converted from dwellings to goat folds.,3877975.00,No,,,,,dwellings,No,No,Yes,Yes,Yes,Yes,No,,,0,,Abundant,TJI,28/6/2001 00:00:00,mud,0,,XXVIII-55,Asinou,TS03,1,None,,,II,,makrinari,Abundant,,"Almond trees, wild barley.",Asinou,Stone/mudbrick,
track from village,"ploughed fields, olive groves",Other,BU0048,"Abandoned railway station, Evrykhou. 2-storey ashlar and sandstone construction with multiple bays and windows. The roof is missing. Possible construction dates 1914 to 1931.",0,missing nth bay: beam and concrete;entry bay: timber,Unclear,Abandoned,1914-1931 (?),"2 story, ashlar masonry, margined and chiseled around openings. Ashlar with rusticated face and margin on foundation. 1st storey  ends with sandstone stringcourse. roof missing but indication of two pitch, n-s axis. 6 bays. 5th bay from north is main entrance. Windows north and west. Bays 2-3 entered from main entry with pointed arch and fireplace;  2 windows east and 2 west.  6th bay office and wc. 2nd floor,terraces at north and south 5th modified. Railway closed in 1955. Photograph exists of station, reprinted in Evrichou community calendar, for 2001. Mr. Styllis, Evrichou miller, said that in 1931 when Governor was visiting, rioters annoyed him by shooting onto tin cans, as a consequence of which he shut the railway station. Sketch by SEZ.G.S. Georghallides, A political and administrative history of Cyprus 1918-1926, Cyprus Research Centre Nicosia 1979 notes that the railway was built in 1914, p.35-36.",,missing- concealed traces of gutters,,TJI,29/7/2001 00:00:00,none,"cement on ground, first floor missing",Dressed ashlar,Unclear,No,,gypsum (traces) on cement base,,Multiple,,,Balioes,Evrykhou village ---->>>>> NO COORDINATES GIS APPROXIMATED MAY NEED COORDINATES,,,No,large rectangular windows and timber shutters,,,Greek Cypriot,Railway Station,No,No,No,No,No,Yes,No,,860.00,0,,Unclear,SEZ,27/6/2001 00:00:00,missing traces of ottoman tiles,0,,XXVIII-53,Evrykhou I,,1,Unclear,,"No trace of rail line or platform. Fire damage evident to some interior timbers. North balcony made with 2 railway tracks used as metal beams. Named as station & letter box on cadastral map. Also fountain, OL (?), railway lines. 2 storey buildings east.",II,Evrykhou Railway Station,railway station; 2 storey stone,Some,,olive groves.,Evrykhou,"irregular local brown stone, no chinking",
,,Seasonal house,BU0019,"Seasonal house, Mandres. Structure with stone foundation of basalt and white chinking. No roof.",0,,,None,,Rectangular? Corner destroyed by road; high stone socle; basalt with white chinking; no roof remains.,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
Dirt road,Rural land,Seasonal house,BU0020,"Seasonal house, Mandres. Two-storey building with stone foundations and mudbrick walls overlooking gully and open area. Fireplace and shelf intact inside. Roof collapsed.",0,Collapsed,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Pottery sample from here. Lower level store? An abandoned ruinous house overlooking an open area sloping down to a gully; the house on two levels - the uppermost containing a fireplace on the side wall; upper room provided also with a corner shelf and round peg for hanging domestic utensils, hats, coats etc",,,,LHS,20/5/2001 00:00:00,None,Collapsed,Stone,Abundant,,5.00,Mud,Mandres,Multiple,2.00,7.00,Mandres,,,,,Door & windows,,,,Domestic (seasonal),No,No,No,Yes,Yes,Yes,No,,,1,TP021,Abundant,IJE,10/7/2000 00:00:00,Collapsed,0,,XXVIII-39,,TS07,1,None,,An imposing structure on two levels with views to the west. The lower level probably for animals; .... Nice shelf in corner of room.,IV,,,,,"Wheat/barley fields, olives in gully along stream",Kato Koutraphas,Mud brick,6.00
,,Seasonal house,BU0021,"Seasonal house, Mandres. Rectangular unit with stone foundations and mudbrick walls.",0,,,None,,For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form. Square house (unit) Low stone socle with mud brick,,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,1,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
,,Seasonal house,BU0022,"Seasonal house, Mandres. Rectangular unit with stone foundations, adjoining BU0021.",0,,,None,,"For all Mandres buildings see sketch plan attached to SIA (TS07) Recording form.Square house (unit) High socle, adjoins BU021",,,,LHS,20/5/2001 00:00:00,,,,,,,,Mandres,Single,,,Mandres,,,,,,,,,,No,No,No,Yes,Yes,Yes,No,,,0,TP021,,TJI,10/7/2000 00:00:00,,0,,XXVIII-39,,TS07,1,,,,,,,,,,Kato Koutraphas,,
