aerial,architecture,chipped_stone,material_culture,description,easting,elevation,entered_by,entered_date,environment,ground_stone,locality,northing,pottery,recorded_by,recorded_date,sia_id,sketch_chk,slag,source,summary,tile,topography,village
63-35-38,Some,None,"Asinou settlement: 8 abandoned dwellings, mostly 2 room, stone (some mud brick) with hearths and 2 goat folds, 1 with bramble fence. 1 building still used, newly painted and locked (dwelling). Paved threshing floor, rough with stones (TP016), and one unpaved threshing floor (a third turned out to be bulldozing). Architecture mapped and analysed by TJI.",Colonial also included in Period on paper form (= Modern; mjg),497600.00,500.00,LHS,17/5/2001 00:00:00,"Topography: Top of hill within Asinou valley. Steep-sided on north, ridge to east and west. 550 m SW of church of Phorviotissa. Geology: Diabase, basalt. Modern Land Use: Forest, olive groves, some crops,  Water: Potamos Asinou in valley (no water currently)",None,Asinou,3878400.00,Abundant,TJI,6/7/2000 00:00:00,TS03,0,None,"1:50,000",Abandoned settlement of Asinou,Abundant,,Nikitari
63-48-131,Some,Unclear,Range of Med-Mod material; some interesting pieces (e.g. sherd coated with pitch on interior); useful as exploration of the immediate surroundings of a Med-Mod estate/village. It is conceivable that the Medieval estate was in the vicinity of the Ayios Dhimitrianos church (15c?),Kato Phlasou village Plans I + II. includes training SUs for all 4 field teams. In the vicinity of TAESP 2003 headquarters at Ayios Dhimitrianos church.,489905.00,320.00,CSA,,"Anthropogenic alluvials terraces east of Karkotis river, west of main N-S road. Consist largely of cultivated grain fields and olive orchards.",Unclear,Koutroullis tou Agiou Georgiou,3880305.00,Abundant,ATB,,TS04,0,Unclear,Image Print,Block survey for TAESP 2003 training days,Abundant,,Phlasou
,Some,Some,"Abundant Roman material culture in the form of: Tiles, Sigillata A, Heavy and Light utility wares, and cooking wares.  Several rubble piles - some potential structures as well as field clearing.  Oral history from a Priest at Xyliatos suggests a Medieval or possibly Ottoman church and settlement in this area. One mining adit visible approximately 2/3 of the way up the south side of Alestos. Modern slag pile on Alestos.","Evidence of Roman settlement which may be related to the copper mining source at Alestos. In addition to this, oral history suggests more recent occupation of this site. Rubble piles and house platforms mapped as TP113 and TP114, and drawn on IP. Block survey.",501950.00,515.00,ESP,14/7/2003 00:00:00,"Series of agricultural terraces stepping down in an easterly direction in a small valley. Pillow lava area witnessed as basalt stones on many terraces. Modern use as a mix of olive and almond, with lower terraces used for cultivating vegetables, upper most terraces are unused and derelict.There is a stone lined well at one end of the lower terraces which is full to 1-1.5m below ground level. Area at base of south side of Alestos.",Some,Litharkies,3876075.00,Abundant,ESP,8/7/2003 00:00:00,TS05,0,Some,Image Print,"Hellenistic-Roman settlement, with rubble piles, tiles, pottery, geophysics",Abundant,29,Xyliatos
63-35-51,Abundant,Some,Late Chalcolthic/Early Bronze Age pottery and ground stone. Ottoman/modern (historical period) threshing floors (two on same ridge).,"Ridge containing evidence of Chalcolithic/Early Bronze Age activity (section TP135). Also groups of ground stone on ridge (TP177). Also Ottoman/modern activity in form of two threshing floors (TP176, TP187). Section drawn and sampled.",489920.00,354.00,ATB,29/7/2003 00:00:00,"On summit and sides of an elevation, bedrock is pillow basalt, with very thin soils overlying it. Close to an ancient possible river meander. Ridge has been modified by bulldozing (possibly created by draft animals, but certainly not made by heavy machinery). Water tank (modern) on summit. Almond grove on east side. Animal pen on summit.",Abundant,Koutroullis,3879620.00,Abundant,AJG,20/7/2003 00:00:00,TS06,0,Some,Image Print,"Chalcolithic/Early Bronze Age settlement: section, ground stone, pottery. Recent threshing floor.",Some,28,Phlasou
63-48-112,Abundant,Some,"Includes all Bus from BU0005 to BU0043 Huge jasper core (collected by Carole), and some ground stone built into walls.","Cluster of ruined seasonal houses in varying degrees of dilapidation with some outlying houses on adjacent slopes and flat areas; numerous threshing floors some in good condition. Topographic map by GT and STD; structural analysis of architecture by TJI; pottery and lithics collection in and around structures and on threshing floor. Analysis of soil from mud brick walls & roofs, and of phytoliths from threshing floor. See now measured plans and elevations, oral information, and reports by ESG & HFJ (13/8/01)",495750.00,280.00,LHS,17/5/2001 00:00:00,Undulating agricultural land with deep gullies adjacent to the village; settlement now used from time to time for military purposes e.g. training exercises.,Some,Mandres,3881300.00,Abundant,IJE,,TS07,1,Some,"1:50,000","Abandoned settlement, now ruinous",Abundant,,Kato Koutraphas
63-35-36,Abundant,Some,"Block Survey area - pottery and tile ranging from Roman? to modern, with clear focus of Medieval and 16th century in orchard NW of church. Panayia Phorviotissa (TP030): Middle Byzantine church with several (at least 2) construction phases - material re-used: tile, pottery, glass, architecture and benches",SIA consists of area of church and cultivated field below. Middle Byzantine Church seperated from surrounding agricultural fields by wall. Wall seems to have been reused/remade in previous periods. Phases of rebuilding present in wall. Rubble in are of church provides information about previous settlement (monastery?) Focus of local Sunday activity. Geophysical and topographic survey. Block survey in orchard below. Oral information from Panayiotis.,497575.00,440.00,SED,18/7/2001 00:00:00,"Topography - plateau on low spur overlooking Asinou valley, gullies on either side. Geology - bedrock (Panayia Phorviotissa), basal group. Colluvial and alluvial mix, also anthropogenic terraces (tilled). Modern land use - almond orchard/church. Water - well in church courtyard, river 100+ m west",None,Kapsalia,3878280.00,Abundant,ESG,18/7/2001 00:00:00,TS08,0,Some,Aerial,Church of Panayia Phorviotissa and enclosed terraced field,Abundant,,Nikitari
63-48-119,Some,,,"Density of red polished ware along with some bone, possibly human found along the bottom edge of the ridge and on the sloping ground towards the east. Major pottery scatter in fields south of ridge. Geophysical survey; block survey; topographic survey; collection in gridded circles.",489973.00,300.00,HFJ,26/7/2001 00:00:00,"The cultivated fields, olive grove and disturbed area to the east of the ridge east of the village of Katydata.",,Laonarka,3882029.00,Abundant,HFJ,26/7/2001 00:00:00,TS09,0,,GPS,"EBA and MBA settlement, associated with previously excavated tombs",None,28-XX,Katydhata
63-35-26,Some,None,Drawings done in 2001 season. No artefacts,"A group of ancient adits cut in the contact between the pillow lavas and the conglomerate, on either side of a deep gully.  They are located just to the west of Memi open cast and are probably the only remains left of the ancient mine associated with TP006.  To the west of the adits there are very well built terrace walls - some 2 m high - built of large diabase boulders as well as smaller ones, still used for cultivation of olive trees and other fruits. Photographs of adits and gully; drawings of adits. Very difficult to map overall.",503273.00,389.00,ATB,25/7/2001 00:00:00,"Pillow lavas covered by a layer of conglomerates - deep gully to the east - well preserved terrace walls to the west - some terraces even on the area of the adits - water channel runs along the east face of the gully - seasonal river at the bottom of the gully.  The area is lush - pine trees and olive trees and almond trees and vines while at the bottom of the valley there are canes, oleander, cistus and hawthorn.",None,Ayios Kyriakos,3877219.00,None,LIK,25/7/2001 00:00:00,TS10,1,None,GPS,River gully with ancient adits and shafts,None,29-XXVII,Xyliatos
63-48-131,None,Some,Pottery & tile. Church of Panayia Kousouliotissa is nearby and may be related (BU0094),Cultivated fields on the W side of the main road which have produced a significant amount of Roman pottery and some 13th century sherds. Used as training area for field teams at beginning of 2001 and 2002 seasons. NB Roman material is concentrated on valley edge because of Ottoman period alluviation.,490580.00,345.00,HFJ,31/7/2001 00:00:00,Fairly level river terraces of the Karkotis valley. (East side of the river). At The boundary with the hills on the W side of the main road. Relatively stable.,Unclear,Dodekaskala,3880100.00,Abundant,HFJ,31/7/2001 00:00:00,TS11,0,Some,Aerial,Roman & Medieval-Modern pottery scatter below Panayia Kousouliotissa,Abundant,28-XXI,Phlasou
63-35-36,Abundant,None,"Ayios Ioannis Church (TP039) - ashlar wall approximately 10m long and 4 courses high. Little pottery is present on ground surface although some found in walls with mortar. SU0365, SU0366 - block survey of this field. Abundant pithos and few tiles found. Pithos to hold wine? Interesting range of Ott-Mod forms and functions.","SIA is the general interest area that incorporates the area of Ayios Ioannis Church and area of block survey to the south. This area was off transect but survey of field chosen for visibility. Walls in SU0365, SU0366 thought to be terraces but it seems more likely that they are the walls of a dwelling. Material is characteristic of a settlement - perhaps a predecessor of the Asinou settlement on the hill. Khalospitiaes means ruined houses.",497010.00,400.00,JLH,30/7/2001 00:00:00,"River terraces with large river cobbles. Church is situated on or directly associated with the river. Terraces with wild oats, olive trees and grapes are abandoned.",None,Khalospities,3878020.00,Abundant,ESG,30/7/2001 00:00:00,TS12,1,None,Aerial,Pottery scatter beside site of Ayios Ioannis Church,Some,,Nikitari
,None,Some,Hellenistic and Roman pottery,"SUs 1006 and 1072-1075: dense concentration of Hellenistic and Roman pottery.  The nature of the ceramic assemblage from these periods, which includes many tablewares and lamps, leads KWJ to believe that this pottery represents fill from tombs located nearby (at an as yet unknown location) rather than a settlement. No clear geomorphological evidence that this is the case (needs checking).",489065.00,185.00,ATB,2/8/2002 00:00:00,"Flat anthropogenic terraces approximately 150 m west of the Karkotis river.  Fallow (but some older evidence for cultivation of potatoes and watermelons) agricultural fields.  Bounded on the east by the disused mining railroads, on the west by a dirt road, and to the south by a gully.",Some,Psephtas,3883800.00,Abundant,ATB,1/8/2002 00:00:00,TS13,0,Abundant,Aerial,Hellenistic-Roman pottery scatter. Adit; ancient olive mill,Some,28-XII,Skouriotissa
